Balance of Payments by Indicator (BPM6),,,,,,,,,,,
Percent of GDP,,,,,,,,,,,
,,,,,,,,,,,
,2009,2010,2011,2012,2013,2014,2015,2016,,,
Total,...,...,...,...,...,...,...,...,,,
Advanced Economies,...,...,...,...,...,...,...,...,,,
Euro Area (Incl. ECB),18.32,21.08,22.94,23.58,22.96,23.19,23.69,23.23,,,
Austria,42.84,47.38,50.96,50.91,50.38,50.14,49.24,48.95,,,
Belgium,67.80,75.26,82.05,82.61,81.86,81.92,78.80,81.81,,,
Cyprus,54.25,57.52,55.91,54.97,56.97,60.16,64.06,66.64,,,
Estonia,56.02,68.70,80.90,84.39,81.51,79.80,74.59,75.14,,,
Finland,34.23,37.34,39.93,40.80,39.49,38.05,36.85,36.07,,,
France,25.89,28.45,30.73,31.08,30.88,31.22,31.58,31.32,,,
Germany,32.96,37.06,39.97,39.90,39.45,38.81,38.86,38.14,,,
Greece,25.48,26.78,29.52,28.18,33.21,34.77,30.18,28.86,,,
Ireland,70.49,76.33,76.49,77.84,76.78,92.60,90.01,93.15,,,
Italy,23.20,27.18,28.61,27.61,26.61,26.49,27.00,26.49,,,
Latvia,44.29,55.44,62.57,65.88,63.94,62.14,60.79,58.91,,,
Lithuania,53.83,67.18,77.51,80.77,82.86,78.98,76.26,73.22,,,
Luxembourg,115.82,126.66,133.61,143.53,152.29,158.24,162.20,154.52,,,
Malta,149.73,153.97,157.97,160.63,150.74,136.97,136.04,128.62,,,
Netherlands,56.62,63.63,68.87,72.35,71.34,71.81,72.86,71.45,,,
Portugal,34.01,37.23,38.68,38.12,38.44,39.78,39.61,38.76,,,
Slovak Republic,68.65,77.11,85.30,87.05,89.05,87.65,89.87,89.85,,,
Slovenia,55.56,62.99,69.21,69.14,67.84,68.20,68.40,68.51,,,
Spain,23.88,26.87,29.14,29.20,28.97,30.28,30.67,29.94,,,
Australia,20.87,20.38,20.73,21.37,20.91,20.91,21.57,20.24,,,
Canada,30.83,31.77,32.72,32.27,32.12,32.73,34.02,33.42,,,
